Row_ID,CPSE_Name,Material_Code_CPSE,Material_Description_Raw,Specification_Raw,Unit_Of_Measurement,Existing_Classification_Code,Plant_Location,Annual_Procured_Qty,Avg_Unit_Price_INR,Vendor_Name,GroundTruth_Material_Cluster_ID,GroundTruth_Standard_Material_Name,GroundTruth_Common_National_Material_Code
94,BPCL,BPC-593355,DIES GENE AIR FILT GENSET AIR FILTER CARTRIDGE,GENSET AIR FILTER CARTRIDGE,NOS,CLS-8141,Kochi Refinery,474,1045.05,Vendor-699,CLU-0020,Diesel Generator Air Filter Element,NMC-100020
95,BPCL,BPC-462974,TURBINE BLADE STEAM TURBINE LP STAGE - STEAM TURBINE BLADE LOW PRESSURE STAGE,STEAM TURBINE BLADE LOW PRESSURE STAGE,NO,CLS-2848,Mumbai Refinery,146,37251.23,Vendor-996,CLU-0049,Turbine Blade Steam Turbine LP Stage,NMC-100049
96,IOCL,IOC-213349,MOTOR BEARING NU 220 CYLINDRICAL ROLLER - NU220 CYL ROLLER BEARING,NU220 CYL ROLLER BEARING,PCS,CLS-7149,Haldia Refinery,18,7608.88,Vendor-689,CLU-0015,Motor Bearing NU 220 Cylindrical Roller,NMC-100015
97,NTPC,NTPC-787926,WIRE ROPE SLING 12MM 6X37 CONSTRUCTION - 12 MM WIRE ROPE 6X37 SLING TYPE,12 MM WIRE ROPE 6X37 SLING TYPE,M,CLS-2746,Korba STPS,7,323.16,Vendor-981,CLU-0012,Wire Rope Sling 12mm 6x37 Construction,NMC-100012
98,ONGC,ONG-245051,"6"" GATE VALVE CS #150 GATE VALVE CAST STEEL 6 INCH CLASS 150","6"" GATE VALVE CS #150",NOS,CLS-2796,Rajahmundry Asset,257,19090.92,Vendor-148,CLU-0003,Gate Valve Cast Steel 6 Inch Class 150,NMC-100003
99,CIL,CIL-106933,EXCAVATOR BUCKET TEETH TUNGSTEN CARBIDE (TC TIPPED EXCAVATOR BUCKET TOOTH),TC TIPPED EXCAVATOR BUCKET TOOTH,EA,CLS-9673,MCL Sambalpur,287,3645.35,Vendor-117,CLU-0053,Excavator Bucket Teeth Tungsten Carbide,NMC-100053
100,NTPC,NTPC-934908,PORTABLE ULTRASONIC THICKNESS GAUGE,-,PCS,CLS-4637,Ramagundam STPS,7,35580.13,Vendor-364,CLU-0075,Portable Ultrasonic Thickness Gauge,NMC-100075
101,CPCL,CPCL-694731,GATE VALVE CAST STEEL DN150 PN20 CS GATE,DN150 PN20 CS GATE,NOS,CLS-8517,Cauvery Basin Refinery,113,44494.74,Vendor-505,CLU-0003,Gate Valve Cast Steel 6 Inch Class 150,NMC-100003
102,CPCL,CPCL-182760,LEVEL TRAN RADAR TYPE RADAR TYPE LT 4-20MA HART,RADAR TYPE LT 4-20MA HART,NO,CLS-9937,Cauvery Basin Refinery,313,119607.85,Vendor-284,CLU-0038,Level Transmitter Radar Type 4-20mA,NMC-100038
103,BPCL,BPC-808446,WELDING ELECTRODE E7018 3.15MM (ELECT E7018 3.15 MM LOW HYDROGEN),ELECT E7018 3.15 MM LOW HYDROGEN,KGS,CLS-3780,Mumbai Refinery,266,368.3,Vendor-915,CLU-0011,Welding Electrode E7018 3.15mm,NMC-100011
104,NTPC,NTPC-119927,TIMI BELT HTD 8M HTD 8M TYPE TIMING BELT 30MM,HTD 8M TYPE TIMING BELT 30MM,EA,CLS-9647,Ramagundam STPS,115,1768.95,Vendor-661,CLU-0035,Timing Belt HTD 8M 30mm Width,NMC-100035
105,IOCL,IOC-359778,STUDDED BOLT WITH 2 NUTS B7 M24X180 - M24X180 B7 STUD 2 NUTS,M24X180 B7 STUD 2 NUTS,SET,CLS-9564,Haldia Refinery,229,695.49,Vendor-636,CLU-0032,Studded Bolt with 2 Nuts B7 M24x180,NMC-100032
106,NTPC,NTPC-757629,INDU GEAR OIL ISO IND GEAR OIL VG-220 210 LTR DRUM,IND GEAR OIL VG-220 210 LTR DRUM,L,CLS-8912,Korba STPS,153,310.48,Vendor-409,CLU-0041,Industrial Gear Oil ISO VG 220 210L Drum,NMC-100041
107,BPCL,BPC-492292,NITROGEN GAS CYLINDER 47 LITRE INDUSTRIAL GRADE,-,NO,CLS-9199,Kochi Refinery,30,6089.37,Vendor-702,CLU-0076,Nitrogen Gas Cylinder 47 Litre Industrial Grade,NMC-100076
108,CIL,CIL-230521,RADAR LEVEL TXR 4-20MA LEVEL TRANSMITTER RADAR TYPE 4-20MA,RADAR LEVEL TXR 4-20MA,PCS,CLS-8204,NCL Singrauli,228,111158.92,Vendor-861,CLU-0038,Level Transmitter Radar Type 4-20mA,NMC-100038
109,NTPC,NTPC-245939,EMERGENCY SHUTDOWN VALVE ACTUATOR PNEUMATIC,-,NO,CLS-3525,Korba STPS,20,89042.54,Vendor-774,CLU-0071,Emergency Shutdown Valve Actuator Pneumatic,NMC-100071
110,HPCL,HPC-975467,FLEXIBLE HYDRAULIC HOSE 1 INCH 2 WIRE BRAID (HOSE HYD 25MM 2WB R2AT),HOSE HYD 25MM 2WB R2AT,MTRS,CLS-1853,Visakh Refinery,245,415.51,Vendor-652,CLU-0014,Flexible Hydraulic Hose 1 Inch 2 Wire Braid,NMC-100014
111,NTPC,NTPC-254511,WELDING ELECTRODE E7018 3.15MM - 3.15 MM E-7018 ELECTRODE,3.15 MM E-7018 ELECTRODE,KG,CLS-2193,Vindhyachal STPS,28,311.21,Vendor-586,CLU-0011,Welding Electrode E7018 3.15mm,NMC-100011
112,SAIL,SAIL-822131,STRU STEEL ANGLE 75X7 MS L-ANGLE 75X75X6,MS L-ANGLE 75X75X6,MET,CLS-9199,Rourkela Steel Plant,363,490.88,Vendor-378,CLU-0019,Structural Steel Angle 75x75x6mm,NMC-100019
113,CPCL,CPCL-360096,CONTINUOUS CASTING MOULD COPPER PLATE (COPPER PLATE MOULD CONTINUOUS CASTING MACHINE),COPPER PLATE MOULD CONTINUOUS CASTING MACHINE,PCS,CLS-5374,Manali Refinery,138,145207.65,Vendor-557,CLU-0047,Continuous Casting Mould Copper Plate,NMC-100047
114,IOCL,IOC-861319,RUBB EXPA JOINT 8 DN200 RUBBER EXP BELLOWS,DN200 RUBBER EXP BELLOWS,PCS,CLS-9022,Gujarat Refinery,433,12630.19,Vendor-775,CLU-0022,Rubber Expansion Joint 8 Inch Flanged,NMC-100022
115,NTPC,NTPC-786735,"CHECK VALVE CAST IRON 4 INCH SWING TYPE - 4"" SWING CHECK VALVE CI","4"" SWING CHECK VALVE CI",NO,CLS-5583,Vindhyachal STPS,431,7914.78,Vendor-517,CLU-0026,Check Valve Cast Iron 4 Inch Swing Type,NMC-100026
116,BPCL,BPC-963333,"PRESSURE SAFETY VALVE 2X3 INCH SET 10 BAR (2""X3"" PSV SET PRESSURE 10 BAR)","2""X3"" PSV SET PRESSURE 10 BAR",NO,CLS-2215,Mumbai Refinery,69,53978.05,Vendor-757,CLU-0040,Pressure Safety Valve 2x3 Inch Set 10 Bar,NMC-100040
117,ONGC,ONG-517821,BUTT VALVE CAST IRON 8 INCH CAST IRON WAFER TYPE BFLY VALVE,8 INCH CAST IRON WAFER TYPE BFLY VALVE,NOS,CLS-5573,Ankleshwar Asset,147,18100.94,Vendor-891,CLU-0010,Butterfly Valve Cast Iron 8 Inch Wafer Type,NMC-100010
118,NTPC,NTPC-551860,STEEL WIRE MESH SCRE WOVEN WIRE SCREEN 10MM OPENING,WOVEN WIRE SCREEN 10MM OPENING,MTR,CLS-7606,Vindhyachal STPS,456,1808.29,Vendor-474,CLU-0043,Steel Wire Mesh Screen 10mm Aperture,NMC-100043
119,BPCL,BPC-573417,HEX HEAD BOLT SS304 M16X60 (16MM DIA X 60MM SS304 BOLT),16MM DIA X 60MM SS304 BOLT,EACH,CLS-1344,Mumbai Refinery,131,42.47,Vendor-446,CLU-0005,Hex Head Bolt SS304 M16x60,NMC-100005
120,SAIL,SAIL-323508,V-BE A SECT 63 A63 V-BELT,A63 V-BELT,EACH,CLS-2127,Bokaro Steel Plant,140,196.36,Vendor-457,CLU-0008,V-Belt A Section 63 Inch,NMC-100008
121,BPCL,BPC-926952,1.5 INCH CLASS 800 FORGED STEEL GLOBE VLV GLOBE VALVE FORGED STEEL 1.5 INCH CLASS 800,1.5 INCH CLASS 800 FORGED STEEL GLOBE VLV,NOS,CLS-3129,Mumbai Refinery,146,16300.87,Vendor-248,CLU-0027,Globe Valve Forged Steel 1.5 Inch Class 800,NMC-100027
122,CPCL,CPCL-928897,CIRCUIT BREAKER VACUUM TYPE 11KV INDOOR (VCB 11KV INDOOR MOUNTED TYPE),VCB 11KV INDOOR MOUNTED TYPE,NOS,CLS-1879,Manali Refinery,261,336364.14,Vendor-454,CLU-0055,Circuit Breaker Vacuum Type 11kV Indoor,NMC-100055
123,ONGC,ONG-362147,ROLLER CHAIN 16B-1 SIMPLEX - CHAIN ROLLER 16B SIMPLEX PITCH 25.4MM,CHAIN ROLLER 16B SIMPLEX PITCH 25.4MM,M,CLS-2680,Mumbai High Offshore,333,588.35,Vendor-480,CLU-0034,Roller Chain 16B-1 Simplex,NMC-100034
124,CIL,CIL-694916,SEAM PIPE CARB STEEL 6 INCH SCHEDULE 40 CS SEAMLESS,6 INCH SCHEDULE 40 CS SEAMLESS,M,CLS-2133,SECL Bilaspur,48,4927.63,Vendor-935,CLU-0004,Seamless Pipe Carbon Steel Sch 40 6 Inch,NMC-100004
125,HPCL,HPC-134225,COUPLING FLEXIBLE PIN BUSH TYPE 100MM (COUPLING FLEX PIN BUSH TYPE 100MM DIA),COUPLING FLEX PIN BUSH TYPE 100MM DIA,PCS,CLS-8438,Visakh Refinery,152,7241.73,Vendor-819,CLU-0018,Coupling Flexible Pin Bush Type 100mm,NMC-100018
126,IOCL,IOC-970357,5 HP SUB. PUMP DEWATER TYPE SUBMERSIBLE DEWATERING PUMP 5HP,5 HP SUB. PUMP DEWATER TYPE,EA,CLS-1803,Haldia Refinery,207,34606.81,Vendor-679,CLU-0024,Submersible Dewatering Pump 5HP,NMC-100024
127,BPCL,BPC-581992,CM CUTTING BIT TUNGSTEN CARBIDE CONTINUOUS MINER CUTTING BIT CARBIDE TIP,CM CUTTING BIT TUNGSTEN CARBIDE,NOS,CLS-5331,Kochi Refinery,284,580.29,Vendor-890,CLU-0045,Continuous Miner Cutting Bit Carbide Tip,NMC-100045
128,ONGC,ONG-626611,EXCAVATOR TEETH TC TIPPED TYPE EXCAVATOR BUCKET TEETH TUNGSTEN CARBIDE,EXCAVATOR TEETH TC TIPPED TYPE,EA,CLS-2753,Rajahmundry Asset,350,3722.29,Vendor-283,CLU-0053,Excavator Bucket Teeth Tungsten Carbide,NMC-100053
129,NTPC,NTPC-478221,CRYOGENIC STORAGE VALVE FOR LNG SERVICE,-,PCS,CLS-8286,Vindhyachal STPS,6,40415.62,Vendor-415,CLU-0058,Cryogenic Storage Valve for LNG Service,NMC-100058
130,SAIL,SAIL-244170,COAL CONV IDLER ROLL 127MM DIA CONVEYOR IDLER ROLLER,127MM DIA CONVEYOR IDLER ROLLER,NO,CLS-1149,Bokaro Steel Plant,123,1703.9,Vendor-254,CLU-0052,Coal Conveyor Idler Roller 127mm Dia,NMC-100052
131,CIL,CIL-976638,DEEP GROO BALL BEAR 6205 2RS DEEP GROOVE BALL BRG,6205 2RS DEEP GROOVE BALL BRG,EACH,CLS-4872,SECL Bilaspur,52,566.87,Vendor-969,CLU-0006,Deep Groove Ball Bearing 6205,NMC-100006
132,ONGC,ONG-427040,ROCK DRILLING BIT DTH 6 INCH BUTTON TYPE,-,PCS,CLS-8912,Ankleshwar Asset,30,21332.59,Vendor-633,CLU-0078,Rock Drilling Bit DTH 6 Inch Button Type,NMC-100078
133,ONGC,ONG-856086,"6""X4"" CONCENTRIC REDUCER CS REDUCER CONCENTRIC CARBON STEEL 6X4 INCH","6""X4"" CONCENTRIC REDUCER CS",NO,CLS-6761,Mumbai High Offshore,500,1288.97,Vendor-419,CLU-0029,Reducer Concentric Carbon Steel 6x4 Inch,NMC-100029
134,CIL,CIL-236074,PRESSURE SAFETY VALVE 2X3 INCH SET 10 BAR (DN50XDN80 PSV SET 10BAR),DN50XDN80 PSV SET 10BAR,EACH,CLS-7523,MCL Sambalpur,457,21189.97,Vendor-416,CLU-0040,Pressure Safety Valve 2x3 Inch Set 10 Bar,NMC-100040
135,BPCL,BPC-351516,COUP FLEX PIN BUSH PIN-BUSH COUPLING 100 MM,PIN-BUSH COUPLING 100 MM,NOS,CLS-7693,Mumbai Refinery,287,3450.39,Vendor-102,CLU-0018,Coupling Flexible Pin Bush Type 100mm,NMC-100018
136,SAIL,SAIL-843788,INDUSTRIAL GEAR OIL ISO VG 220 210L DRUM - GEAR OIL ISO VG 220 DRUM 210 LITRE,GEAR OIL ISO VG 220 DRUM 210 LITRE,L,CLS-5653,Bhilai Steel Plant,182,386.87,Vendor-631,CLU-0041,Industrial Gear Oil ISO VG 220 210L Drum,NMC-100041
137,ONGC,ONG-290672,CHAIN LINK FENCING GI 6FT HEIGHT (6FT GI CHAINLINK FENCE 4MM),6FT GI CHAINLINK FENCE 4MM,MTRS,CLS-6576,Ankleshwar Asset,113,275.8,Vendor-364,CLU-0016,Chain Link Fencing GI 6ft Height,NMC-100016
138,HPCL,HPC-693830,ELBOW 90 DEGREE CARBON STEEL 4 INCH SCH40 - 4IN 90DEG CS SCH40 ELBOW,4IN 90DEG CS SCH40 ELBOW,NOS,CLS-1502,Mumbai Refinery,40,684.44,Vendor-748,CLU-0030,Elbow 90 Degree Carbon Steel 4 Inch Sch40,NMC-100030
139,NTPC,NTPC-985506,BLIND FLAN CARB STEEL DN200 PN20 CS BLIND FLANGE,DN200 PN20 CS BLIND FLANGE,NO,CLS-9584,Vindhyachal STPS,129,3024.87,Vendor-510,CLU-0031,Blind Flange Carbon Steel 8 Inch Class 150,NMC-100031
140,NTPC,NTPC-612340,SEAM PIPE CARB STEEL 6 INCH SCHEDULE 40 CS SEAMLESS,6 INCH SCHEDULE 40 CS SEAMLESS,MTRS,CLS-6038,Vindhyachal STPS,62,5716.39,Vendor-999,CLU-0004,Seamless Pipe Carbon Steel Sch 40 6 Inch,NMC-100004
141,SAIL,SAIL-728437,ELBOW 90 DEGREE CARBON STEEL 4 INCH SCH40 - 4IN 90DEG CS SCH40 ELBOW,4IN 90DEG CS SCH40 ELBOW,NO,CLS-3248,Bhilai Steel Plant,8,765.75,Vendor-316,CLU-0030,Elbow 90 Degree Carbon Steel 4 Inch Sch40,NMC-100030
142,HPCL,HPC-921609,CIRC BREA VACU TYPE VCB 11KV INDOOR MOUNTED TYPE,VCB 11KV INDOOR MOUNTED TYPE,PCS,CLS-7150,Mumbai Refinery,256,207034.6,Vendor-666,CLU-0055,Circuit Breaker Vacuum Type 11kV Indoor,NMC-100055
143,HPCL,HPC-725905,MANGANESE STEEL JAW CRUSHER PLATE CRUSHER JAW PLATE MANGANESE STEEL,MANGANESE STEEL JAW CRUSHER PLATE,EA,CLS-4728,Mumbai Refinery,140,44012.12,Vendor-901,CLU-0044,Crusher Jaw Plate Manganese Steel,NMC-100044
144,HPCL,HPC-281043,PRES SAFE VALVE 2X3 PRESSURE SAFETY VALVE 2X3 INCH SET PR 10 BAR,PRESSURE SAFETY VALVE 2X3 INCH SET PR 10 BAR,NO,CLS-6236,Mumbai Refinery,49,47988.99,Vendor-965,CLU-0040,Pressure Safety Valve 2x3 Inch Set 10 Bar,NMC-100040
145,SAIL,SAIL-207197,DIGITAL ULTRASONIC FLOW METER 8 INCH LINE,-,PCS,CLS-9395,Bhilai Steel Plant,6,111856.6,Vendor-559,CLU-0059,Digital Ultrasonic Flow Meter 8 Inch Line,NMC-100059
146,CPCL,CPCL-246942,BOILER TUBE SEAMLESS SA210 GRADE C 51MM OD - BOILER TUBE SEAMLESS SA 210 GR C OD51MM,BOILER TUBE SEAMLESS SA 210 GR C OD51MM,MTR,CLS-6224,Cauvery Basin Refinery,124,2205.26,Vendor-849,CLU-0050,Boiler Tube Seamless SA210 Grade C 51mm OD,NMC-100050
147,HPCL,HPC-940346,WIRE ROPE SLING 12MM 6X37 CONSTRUCTION (12MM 6X37 WIRE ROPE SLING),12MM 6X37 WIRE ROPE SLING,M,CLS-6198,Mumbai Refinery,346,232.78,Vendor-672,CLU-0012,Wire Rope Sling 12mm 6x37 Construction,NMC-100012
148,CIL,CIL-188025,FLEXIBLE HYDRAULIC HOSE 1 INCH 2 WIRE BRAID (1IN 2WB HYD HOSE SAE100R2),1IN 2WB HYD HOSE SAE100R2,MTR,CLS-3977,MCL Sambalpur,224,508.56,Vendor-572,CLU-0014,Flexible Hydraulic Hose 1 Inch 2 Wire Braid,NMC-100014
149,NTPC,NTPC-177558,FIREPROOF CABLE GLAND EX-D TYPE 25MM,-,NO,CLS-9755,Ramagundam STPS,39,1614.7,Vendor-510,CLU-0072,Fireproof Cable Gland Ex-d Type 25mm,NMC-100072
150,CPCL,CPCL-659951,ROLLER CHAIN 16B-1 SIMPLEX (16B1 SIMPLEX CHAIN),16B1 SIMPLEX CHAIN,M,CLS-8684,Manali Refinery,163,879.36,Vendor-903,CLU-0034,Roller Chain 16B-1 Simplex,NMC-100034
151,NTPC,NTPC-939482,DEEP GROOVE BALL BEARING 6205 (6205 2RS DEEP GROOVE BALL BRG),6205 2RS DEEP GROOVE BALL BRG,PCS,CLS-8350,Vindhyachal STPS,132,236.22,Vendor-649,CLU-0006,Deep Groove Ball Bearing 6205,NMC-100006
152,HPCL,HPC-583214,COAL CONVEYOR IDLER ROLLER 127MM DIA (CONVEYOR IDLER 127MM ROLLER TYPE),CONVEYOR IDLER 127MM ROLLER TYPE,NO,CLS-3293,Visakh Refinery,380,3884.93,Vendor-273,CLU-0052,Coal Conveyor Idler Roller 127mm Dia,NMC-100052
153,IOCL,IOC-113266,CHAIN LINK FENC GI GI FENCING 1.8M HT CHAINLINK,GI FENCING 1.8M HT CHAINLINK,MTRS,CLS-6934,Gujarat Refinery,426,312.35,Vendor-543,CLU-0016,Chain Link Fencing GI 6ft Height,NMC-100016
154,CIL,CIL-624369,STEEL WIRE MESH SCREEN 10MM APERTURE - SCREEN MESH STEEL WIRE 10 MM APERTURE,SCREEN MESH STEEL WIRE 10 MM APERTURE,MET,CLS-6456,SECL Bilaspur,28,1289.5,Vendor-830,CLU-0043,Steel Wire Mesh Screen 10mm Aperture,NMC-100043
155,NTPC,NTPC-354655,BOILER TUBE SEAMLESS SA210 GRADE C 51MM OD - SEAMLESS BOILER TUBE SA210 GRC 51 OD,SEAMLESS BOILER TUBE SA210 GRC 51 OD,MET,CLS-8369,Ramagundam STPS,109,1428.42,Vendor-180,CLU-0050,Boiler Tube Seamless SA210 Grade C 51mm OD,NMC-100050
156,CIL,CIL-256466,BOILER TUBE SEAMLESS SA210 GRADE C 51MM OD (51MM OD SA-210-C SEAMLESS TUBE),51MM OD SA-210-C SEAMLESS TUBE,MET,CLS-8758,NCL Singrauli,197,1194.21,Vendor-650,CLU-0050,Boiler Tube Seamless SA210 Grade C 51mm OD,NMC-100050
157,SAIL,SAIL-919182,FLEXIBLE HYDRAULIC HOSE 1 INCH 2 WIRE BRAID - HOSE HYD 25MM 2WB R2AT,HOSE HYD 25MM 2WB R2AT,MTR,CLS-4266,Bokaro Steel Plant,25,1003.39,Vendor-353,CLU-0014,Flexible Hydraulic Hose 1 Inch 2 Wire Braid,NMC-100014
158,HPCL,HPC-378085,DEEP GROO BALL BEAR 6205ZZ BALL BEARING,6205ZZ BALL BEARING,NO,CLS-8973,Mumbai Refinery,151,340.35,Vendor-848,CLU-0006,Deep Groove Ball Bearing 6205,NMC-100006
159,SAIL,SAIL-829066,CORROSION INHIBITOR CHEMICAL FOR PIPELINE 200L,-,LITRE,CLS-6228,Bhilai Steel Plant,31,522.8,Vendor-507,CLU-0067,Corrosion Inhibitor Chemical for Pipeline 200L,NMC-100067
160,BPCL,BPC-387936,WIRE ROPE SLING 12MM 6X37 CONSTRUCTION (SLING WR 12MM 6X37 IWRC),SLING WR 12MM 6X37 IWRC,M,CLS-5451,Kochi Refinery,44,278.39,Vendor-340,CLU-0012,Wire Rope Sling 12mm 6x37 Construction,NMC-100012
161,IOCL,IOC-603110,CONTINUOUS MINER CUTTING BIT CARBIDE TIP (CUTTING BIT CONTINUOUS MINER CARBIDE TIPPED),CUTTING BIT CONTINUOUS MINER CARBIDE TIPPED,PCS,CLS-5480,Gujarat Refinery,291,956.91,Vendor-914,CLU-0045,Continuous Miner Cutting Bit Carbide Tip,NMC-100045
162,NTPC,NTPC-423939,SUBM DEWA PUMP 5HP SUBMERSIBLE PUMP DEWATERING 5 HP,SUBMERSIBLE PUMP DEWATERING 5 HP,EA,CLS-3153,Ramagundam STPS,22,45285.08,Vendor-849,CLU-0024,Submersible Dewatering Pump 5HP,NMC-100024
163,NTPC,NTPC-358607,6 INCH CLASS150 CAST STEEL GATE VLV GATE VALVE CAST STEEL 6 INCH CLASS 150,6 INCH CLASS150 CAST STEEL GATE VLV,NOS,CLS-8019,Korba STPS,292,39253.98,Vendor-864,CLU-0003,Gate Valve Cast Steel 6 Inch Class 150,NMC-100003
164,IOCL,IOC-265056,ELBOW 90 DEGR CARB 4IN 90DEG CS SCH40 ELBOW,4IN 90DEG CS SCH40 ELBOW,NOS,CLS-8259,Haldia Refinery,30,1376.16,Vendor-378,CLU-0030,Elbow 90 Degree Carbon Steel 4 Inch Sch40,NMC-100030
165,ONGC,ONG-675898,DIESEL GENERATOR AIR FILTER ELEMENT - DG SET AIR FILTER ELEMENT,DG SET AIR FILTER ELEMENT,PCS,CLS-8941,Mumbai High Offshore,479,1060.85,Vendor-815,CLU-0020,Diesel Generator Air Filter Element,NMC-100020
166,ONGC,ONG-563516,"ELBOW 90 DEGREE CARBON STEEL 4 INCH SCH40 (4"" 90° ELBOW CS SCH-40 LR)","4"" 90° ELBOW CS SCH-40 LR",EACH,CLS-2864,Ankleshwar Asset,144,780.24,Vendor-624,CLU-0030,Elbow 90 Degree Carbon Steel 4 Inch Sch40,NMC-100030
167,NTPC,NTPC-284692,CHAIN LINK FENCING GI 6FT HEIGHT - FENCING CHAIN LINK GI 6' HEIGHT,FENCING CHAIN LINK GI 6' HEIGHT,MET,CLS-9817,Korba STPS,272,440.68,Vendor-376,CLU-0016,Chain Link Fencing GI 6ft Height,NMC-100016
168,HPCL,HPC-638179,BLAST FURNACE TUYERE COPPER WATER COOLED (BF TUYERE CU WATER COOLED),BF TUYERE CU WATER COOLED,NOS,CLS-8575,Mumbai Refinery,238,127669.34,Vendor-672,CLU-0048,Blast Furnace Tuyere Copper Water Cooled,NMC-100048
169,ONGC,ONG-882033,BLIND FLANGE CARBON STEEL 8 INCH CLASS 150 (8IN 150# CS BLIND FLG),8IN 150# CS BLIND FLG,PCS,CLS-2251,Ankleshwar Asset,118,2665.74,Vendor-272,CLU-0031,Blind Flange Carbon Steel 8 Inch Class 150,NMC-100031
170,ONGC,ONG-171849,CENT PUMP MECH SEAL 50MM MECH SEAL SIC/SIC,50MM MECH SEAL SIC/SIC,NOS,CLS-7615,Rajahmundry Asset,39,11264.94,Vendor-340,CLU-0007,Centrifugal Pump Mechanical Seal 50mm,NMC-100007
171,NTPC,NTPC-421709,CONT CAST MOULD COPP CCM COPPER MOULD PLATE,CCM COPPER MOULD PLATE,NO,CLS-6095,Vindhyachal STPS,212,196632.52,Vendor-820,CLU-0047,Continuous Casting Mould Copper Plate,NMC-100047
172,CIL,CIL-397005,ELBOW 90 DEGREE CARBON STEEL 4 INCH SCH40 (DN100 90DEG SCH40 CS LR ELBOW),DN100 90DEG SCH40 CS LR ELBOW,EA,CLS-6053,MCL Sambalpur,352,1271.07,Vendor-639,CLU-0030,Elbow 90 Degree Carbon Steel 4 Inch Sch40,NMC-100030
173,ONGC,ONG-708851,INDUSTRIAL GEAR OIL ISO VG 220 210L DRUM - ISO VG220 GEAR OIL 210L,ISO VG220 GEAR OIL 210L,LITRE,CLS-6531,Mumbai High Offshore,92,314.68,Vendor-837,CLU-0041,Industrial Gear Oil ISO VG 220 210L Drum,NMC-100041
174,HPCL,HPC-781113,TEMPERATURE TRANSMITTER RTD PT100 HEAD MOUNT (TEMPERATURE TX RTD PT-100 HM TYPE),TEMPERATURE TX RTD PT-100 HM TYPE,PCS,CLS-4048,Mumbai Refinery,132,14605.2,Vendor-126,CLU-0039,Temperature Transmitter RTD PT100 Head Mount,NMC-100039
175,CPCL,CPCL-941814,ELECTROSTATIC PRECIPITATOR COLLECTING ELECTRODE PLATE (COLLECTING ELECTRODE PLATE FOR ESP),COLLECTING ELECTRODE PLATE FOR ESP,EA,CLS-7073,Cauvery Basin Refinery,394,7118.52,Vendor-308,CLU-0051,Electrostatic Precipitator Collecting Electrode Plate,NMC-100051
176,CPCL,CPCL-725550,BUTT VALVE CAST IRON DN200 WAFER CI BUTTERFLY VLV,DN200 WAFER CI BUTTERFLY VLV,EA,CLS-8149,Cauvery Basin Refinery,181,16199.63,Vendor-421,CLU-0010,Butterfly Valve Cast Iron 8 Inch Wafer Type,NMC-100010
177,SAIL,SAIL-649697,CRUSHER JAW PLATE MANGANESE STEEL (MN STEEL CRUSHER JAW PLATE),MN STEEL CRUSHER JAW PLATE,NOS,CLS-7229,Bokaro Steel Plant,374,33592.07,Vendor-961,CLU-0044,Crusher Jaw Plate Manganese Steel,NMC-100044
178,CIL,CIL-401602,CUTTING BIT CONTINUOUS MINER CARBIDE TIPPED CONTINUOUS MINER CUTTING BIT CARBIDE TIP,CUTTING BIT CONTINUOUS MINER CARBIDE TIPPED,EA,CLS-5201,MCL Sambalpur,45,575.14,Vendor-552,CLU-0045,Continuous Miner Cutting Bit Carbide Tip,NMC-100045
179,NTPC,NTPC-316881,INDUSTRIAL SAFETY HELMET HDPE (HDPE SAFETY HELMET WITH CHIN STRAP),HDPE SAFETY HELMET WITH CHIN STRAP,EA,CLS-1320,Ramagundam STPS,204,421.45,Vendor-698,CLU-0013,Industrial Safety Helmet HDPE,NMC-100013
180,CPCL,CPCL-886931,CHAIN LINK FENCING GI 6FT HEIGHT (GI FENCING 1.8M HT CHAINLINK),GI FENCING 1.8M HT CHAINLINK,M,CLS-6511,Cauvery Basin Refinery,296,344.79,Vendor-488,CLU-0016,Chain Link Fencing GI 6ft Height,NMC-100016
181,CPCL,CPCL-771088,"BALL VALVE CARBON STEEL 2 INCH CLASS 300 (2"" #300 CS FLANGED)","2"" #300 CS FLANGED",PCS,CLS-1916,Manali Refinery,355,13512.81,Vendor-886,CLU-0002,Ball Valve Carbon Steel 2 Inch Class 300,NMC-100002
182,SAIL,SAIL-836996,EXTINGUISHER CO2 4.5 KG PORTABLE FIRE EXTINGUISHER CO2 TYPE 4.5KG,EXTINGUISHER CO2 4.5 KG PORTABLE,PCS,CLS-2976,Rourkela Steel Plant,143,3419.87,Vendor-336,CLU-0017,Fire Extinguisher CO2 Type 4.5kg,NMC-100017
183,CIL,CIL-245095,SLING WR 12MM 6X37 IWRC WIRE ROPE SLING 12MM 6X37 CONSTRUCTION,SLING WR 12MM 6X37 IWRC,MTR,CLS-4505,SECL Bilaspur,123,195.76,Vendor-256,CLU-0012,Wire Rope Sling 12mm 6x37 Construction,NMC-100012
184,NTPC,NTPC-738720,2 INCH CLASS 300 CARBON STEEL BALL VALVE CARBON STEEL 2 INCH CLASS 300,2 INCH CLASS 300 CARBON STEEL,EA,CLS-3677,Korba STPS,92,17080.38,Vendor-350,CLU-0002,Ball Valve Carbon Steel 2 Inch Class 300,NMC-100002
185,HPCL,HPC-524707,"8"" BLIND FLANGE CS #150 BLIND FLANGE CARBON STEEL 8 INCH CLASS 150","8"" BLIND FLANGE CS #150",EA,CLS-8538,Visakh Refinery,499,2636.69,Vendor-920,CLU-0031,Blind Flange Carbon Steel 8 Inch Class 150,NMC-100031
